number,snd,R
1,none_119_1,0.123
2,none_92_1,0.177
3,none_105_1,0.208
4,none_72_1,0.222
5,none_81_1,0.239
6,weak_119_1,0.414
7,weak_72_1,0.448
8,weak_81_1,0.448
9,weak_105_1,0.454
10,weak_92_1,0.481
11,medium_72_1,0.573
12,medium_105_1,0.58
13,medium_92_1,0.606
14,medium_119_1,0.609
15,medium_81_1,0.618
16,strong_119_1,0.955
17,strong_105_1,0.969
18,strong_92_1,0.971
19,strong_81_1,0.976
20,strong_72_1,0.981
