number,snd,R
1,none_119_2,0.139
2,none_81_2,0.207
3,none_92_2,0.22
4,none_72_2,0.24
5,none_105_2,0.25
6,weak_119_2,0.41
7,weak_81_2,0.465
8,weak_92_2,0.487
9,weak_105_2,0.488
10,weak_72_2,0.492
11,medium_119_2,0.505
12,medium_92_2,0.588
13,medium_105_2,0.601
14,medium_72_2,0.619
15,medium_81_2,0.633
16,strong_119_2,0.959
17,strong_105_2,0.967
18,strong_92_2,0.974
19,strong_81_2,0.98
20,strong_72_2,0.983
