number,snd,R
1,none_105_3,0.19
2,none_119_3,0.202
3,none_81_3,0.203
4,none_92_3,0.223
5,none_72_3,0.271
6,weak_119_3,0.415
7,weak_105_3,0.432
8,weak_72_3,0.483
9,weak_81_3,0.499
10,weak_92_3,0.511
11,medium_119_3,0.542
12,medium_92_3,0.628
13,medium_105_3,0.644
14,medium_81_3,0.647
15,medium_72_3,0.663
16,strong_119_3,0.948
17,strong_105_3,0.971
18,strong_92_3,0.973
19,strong_81_3,0.981
20,strong_72_3,0.983
